Code equipement,Libellé equipement,Code domaine,Code famille,Etat de santé,Quantité,IRSI,Typologie,Mode de gestion,Code batiment,Code zone,Code local,Code superviseur,Motif de l'évaluation,Origine date mise en service,Motif si état santé impossible,Modèle,Référence,SME/Développement durable,Code DPGF,Débit d'air (m3/h)-AIR,Pression (bar)-AIR,Puissance (kW)-AIR,Type-AIR,Type-CFA,Type-CFO,Puissance (kW)-CFO,Puissance (kVA)-CFO,Cyce (nbr de démarrage)-CFO,Nature diélectrique-CFO,Alimentation (V)-CFO,Type d'éclairage-CFO,Diélectrique transfo. (I)-CFO,Batterie (nbr)-CFO,Anti déflagrant-CFO,Type de batterie-CFO,Programmation-CFO,Zone desservie-CFO,Puissance transormateur (kVA)-CFO,Type de télécommande-CFO,Puissance souscrite-CFO,Tension altérnateur (V)-CFO,Horaire de fonctionnement-CFO,Sortie source centrale (V)-CFO,Puissance source centrale (W)-CFO,Type-CVC,Débit d'air (m3/h)-CVC,Débit d'eau (m3/h)-CVC,Régime eau E/S (°C)-CVC,Régime air E/S (°C)-CVC,Type de fluide frigorignène-CVC,Charge fluide (kg)-CVC,Pilotage-CVC,Type de régulation-CVC,Puissance (kW)-CVC,Régulation-CVC,Horaire de fin-CVC,Unité de stockage-CVC,Capacité cuve (m3)-CVC,Alarme cuve-CVC,Pression (bar)-CVC,Puissance thermique (kW)-CVC,Type de pré-filtration-CVC,Puissance frigorifique (kW)-CVC,Puissance therm. évacuée (kW)-CVC,Pulvériation d'eau-CVC,Type de filtration-CVC,Type de programmation-CVC,Type de reversibilité-CVC,Caractéristique-CVC,Type-ESV,Type-FAC,Pilotage à distance-GTB,Nombre de points-GTB,Autres-GTB,Mobilité-LEV,Niveaux (nbr)-LEV,Course (m)-LEV,Vitesse (m/s)-LEV,Charge (kg)-LEV,Portes vantaux (nbr)-LEV,Nombre de vitesse-LEV,N° ref. fournisseur-LEV,Type-OUV,Type-PAU,Portes vantaux (nbr)-PAU,Hauteur (m)-PAU,Largeur (m)-PAU,N° ref. fournisseur-PAU,Type de motorisation-PAU,Type-PIE,Diamètre RIA (mm)-PIE,Longueur du tuyau (m)-PIE,Pression (bar)-PIE,Type de commande-PIE,Modèle commande-PIE,Type de gaz-PIE,Volume bouteilles-PIE,Nombre de bouteilles-PIE,Débit d'eau (m3/h)-PIE,Puissance surpresseur (kW)-PIE,Nombre de niveaux-PIE,Nombre de prises doubles-PIE,Nombre de prises simples-PIE,Diamètre robinet (mm)-PIE,Type-PLB,Type de filtration-PLB,Débit d'eau (m3/h)-PLB,Puissance (kW)-PLB,Puissance totale (kW)-PLB,Régime eau E/S (°C)-PLB,Capacité (L)-PLB,Capacité (m3)-PLB,Calorifugeage réseau-PLB,Type-POR,Type-SOE,Type-SSI,Nombre de zone-SSI,Mode de transmission-SSI,Type-SUP,Surface (m2)-TOI,Type-VRD,Type de réseau-VRD,Equipment commun/privatif,Fiabilité date mise en service,Organe vital,Adressable-CFO,Accessibilité (hauteur)-CFO,Coupure locale-CFO,Télécommande-CFO,Type de flux-CVC,Adiabétique-CVC,Type de débit-CVC,Batterie chaude-CVC,Batterie froide-CVC,Recyclage-CVC,Thermostatique-CVC,Composition (matière)-CVC,Récupération de chaleur-CVC,Type-GTB,CVC-GTB,Eclairages-GTB,Stores-GTB,Type-LEV,Type de portes palière-LEV,Stores-PAU,Type d'automatisme-PAU,Modèle extincteur-PIE,Commande fermeture-PIE,Commande ouverture-PIE,Mode ouverture-PIE,Stockage-PLB,Adressable-SSI,Accessibilité-TOI,Niveau equipement,Quantite,Code statut,Libelle statut,Equipement règlementaire,Niveau Equipement1,statut_site
11723-CVC-UICL-005,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Daikin,Fxaq1spav1,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-006,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,DAIKIN ,FXAQ15PAV1,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-007,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Daikin,Fxfq50aveb,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-008,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Daikin,Fxaq15pav1,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-009,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Daikin,Fxaq15pav1,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-010,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Lg,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-011,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Air trch,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-012,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-013,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,DAIKIN,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-014,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Altech,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-015,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Airwell,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-016,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Hitachi,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-017,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-018,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-UICL-019,Unité int. split ou multi-split,CVC,UICL,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-VRVI-001,Unité VRV tous type,CVC,VRVI,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,AIRCALO ,,,CVC104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-VRVI-002,Unité VRV tous type,CVC,VRVI,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-VRVI-003,Unité VRV tous type,CVC,VRVI,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-001,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,AIRCALO ,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-002,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,AIRCALO ,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-003,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-004,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,Chronofeu ,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-005,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-006,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,LG,P05AH,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R410A ,3.0,,,,,,,,,,"1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-007,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,AIRCALO ,Flowtherm 4,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-008,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,AIRCALO ,Flowtherm 4,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-009,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-010,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-011,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-012,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-013,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-014,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-015,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
11723-CVC-AERT-016,Aérotherme,CVC,AERT,,1.0,649615,PDC,BDS,117231.0,,,M52,,,,,,,CVC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,ES,En Service,NON,2.0,actif
